idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
1566,2130,11.047012265766803,0,0,0,864691135732210873,864691136391024144
971,2228,11.04709627006127,0,0,0,864691135493665631,864691136968773070
692,1402,11.04844025190888,0,0,0,864691135920381616,864691135779305405
9,728,11.067959522875002,0,0,0,864691136023889209,864691136085781356
939,1567,11.071641612696865,0,0,0,864691135594982187,864691135802341986
1207,1837,11.077943491460816,0,0,0,864691135477839784,864691136177632518
827,1868,11.084158064553186,0,0,0,864691136674495623,864691135867965317
1545,1789,11.08720343459073,0,0,0,864691136093003700,864691135920776624
583,2054,11.091785789493125,0,0,0,864691136052637171,864691135570303724
713,2234,11.101697167550654,0,0,0,864691136274488254,864691136524297617
1448,2315,11.107469198696906,0,0,0,864691135448256146,864691135886314096
580,2155,11.108843324126992,0,0,0,864691136975144988,864691136331214058
380,1813,11.115118352946155,0,0,0,864691135868060950,864691134919869706
1355,2254,11.117087388340542,0,0,0,864691135183693826,864691135465098653
592,690,11.12093521247202,0,0,0,864691136101341045,864691135916843366
1465,1904,11.133712408716228,0,0,0,864691135778773856,864691135886132080
117,1284,11.146673046250205,0,0,0,864691135271590309,864691136274712254
461,504,11.150866513415084,0,0,0,864691135234382937,864691136742067804
2229,2282,11.15218364267731,0,0,0,864691135939949365,864691136111556792
431,1066,11.153560866377951,0,0,0,864691135361432391,864691136488621842
834,1415,11.153850635542875,0,0,0,864691135562001633,864691136913993713
1152,1430,11.154883414899494,0,0,0,864691135877954899,864691136177129478
1264,1330,11.161029343210206,0,0,0,864691136125956134,864691136905560754
665,1486,11.16310494441395,0,0,0,864691135943593332,864691135493620831
841,1795,11.16490788139337,0,0,0,864691135464263742,864691135570135020
137,601,11.17088787876779,0,0,0,864691136904366770,864691135539591282
997,1065,11.175481734583057,0,0,0,864691135491891559,864691135989998080
1226,2298,11.176526830818228,0,0,0,864691135211926464,864691135165079085
500,2126,11.190490248420769,0,0,0,864691135801267554,864691135928376590
780,1559,11.212749885732709,0,0,0,864691135739008132,864691135490326074
1126,1187,11.234281819502383,0,0,0,864691135396115189,864691135510846217
956,1524,11.23578568681336,0,0,0,864691135591726603,864691136927761226
260,1377,11.23920993664597,0,0,0,864691135118894813,864691135801604706
558,618,11.240896761379858,0,0,0,864691135398817569,864691135587666812
1118,1235,11.241261139213872,0,0,0,864691135585713528,864691135388368001
983,1204,11.24671400898953,0,0,0,864691136311451226,864691135469215372
1494,1788,11.251276905311656,0,0,0,864691136137239691,864691135540272498
522,748,11.256090973335285,0,0,0,864691135014246390,864691134990435194
683,1800,11.260488799337235,0,0,0,864691135782542416,864691135562798817
284,1335,11.262909038077142,0,0,0,864691135492274791,864691135343081925
596,1791,11.263738633331286,0,0,0,864691136579193108,864691135431591728
1095,1113,11.26555671061135,0,0,0,864691136954050527,864691136489147922
1488,2132,11.265798151928694,0,0,0,864691135717271834,864691134991010426
1998,2155,11.27052367904883,0,0,0,864691136102207349,864691136331214058
2022,2215,11.272587635498839,0,0,0,864691135584625773,864691135274816017
1856,2200,11.283485986165754,0,0,0,864691135562780385,864691135741874836
529,1662,11.28680645709851,0,0,0,864691135698820373,864691136138988157
241,2054,11.299500873932425,0,0,0,864691136043283030,864691135570303724
1734,2024,11.309770643120961,0,0,0,864691135765006134,864691135662774512
1847,2257,11.313055113451883,0,0,0,864691135511316745,864691135562975969
702,1416,11.313991338161864,0,0,0,864691134966025503,864691135584008045
